Institute,Country
Institut fuer Astrophysik Goettingen,Germany
"Centro de Radioastronomia y Astrofisica, UNAM, Campus Morelia",Mexico
California Institute of Technology,United States
South African Astronomical Observatory,South Africa
Central Astronomical Observatory at Pulkovo of Russian Academy of Sciences,Russia
American Association for the Advancement of Science,United States
"Argelander-Institut fuer Astronomie, University of Bonn",Germany
Birendra Multipal Campus,Nepal
Pedagogical University of Cracow,Poland
University of Hawaii,United States
MUSEUM OF ASTRONOMY AND RELATED SCIENCES,Brazil
Universidade de Sao Paulo,Brazil
NASA Ames Research Center,United States
Instituto de FÃsica de Cantabria (CSIC-UC),Spain
NASA Ames,United States
Texas Christian University,United States
University of North Dakota,United States
NWRA,United States
University of Florida,United States
"Institute for Astronomy, University of Hawaii at Manoa",United States
University of California - Santa Cruz,
Institute of Astrophysics and Space Sciences,Portugal
Royal Astronomical Society + University of Leicester,United Kingdom
Royal Astronomical Society + University of Leicester,United Kingdom
,
Astronomical Institute ASCR,Czech Republic
Vilnius University,Lithuania
U.S. Naval Observatory,United States
HRH The Prince of Wales Institute of Engineering and Technology,India
UC Berkeley,United States
National Radio Astronomy Observation,United States
Liverpool John Moores University,United Kingdom
Pennsylvania State University,United States
Yale University,United States
Western University,Canada
NASA GSFC UMBC,United States
Instituto de Astrofisica de Canari,Spain
US Naval Research Laboratory,United States
,Canada
,Canada
Harvard-Smithsonian CfA,United States
California Institute of Technology,United States
Jet Propulsion Laboratory and IPAC,United States
"Instituto de Astrofísica, PUC-Chile + Space Science Institute",Chile
Institute for Astrophysics Goettingen,Germany
`Imiloa Astronomy Center,
"University of Colorado, Denver",United States
National Radio Astronomy Observatory,United States
"Observatorio Astronomico, Universidad Nacional de Cordoba",Argentina
University Observatory Munich,Germany
SOFIAUSRA,United States
SOFIAUSRA,United States
Instituto de Astrofísica de Canarias,Spain
Max Planck Insitute for Solar System Research,Germany
Lawrence Livermore National Laboratory,United States
Warsaw University,Poland
HM Nautical Almanac Office,United Kingdom
University of Tokyo,Japan
University of Oxford Astrophysics,United Kingdom
Geoazur CNRS UMR 7329 - University of Franche Comte,France
STScI,United States
Instituto de Astrofísica de Canarias,Spain
Instituto de Astrofísica de Canarias,Spain
"JILA, Univ. of Colorado",United States
McDonald Observatory,United States
McDonald Observatory,United States
Federal University of Rio de Janeiro,Brazil
Konkoly Observatory,Hungary
Caltech,United States
"Jet Propulsion Laboratory, California Institute of Technology",United States
California Polytechnic State University San Luis Obispo,United States
Bennet Group Strategic Communications,
U of Notre Dame,United States
Big Kid Science,United States
University of Tokyo,Japan
University of Padua Executive Committee Member,Italy
University of Berne,Switzerland
ETH Zurich,Switzerland
ETH Zurich,Switzerland
University of Berne,Switzerland
NASA Ames and BAERI,United States
University of Turku,Finland
"KIS, Freiburg",Germany
Naval Research Laboratory,United States
Duke University,United States
University of Michigan,United States
"Astronomical Institute, University of Wroclaw",Poland
Fondazione C. Fillietroz-ONLUS Astronomical Observatory Aosta Valley,Italy
IRAP CNRS,France
SpaceDyS,Italy
,
MIT Kavli Institute,United States
NASAMSFC,United States
"National Astronomical Observatories of China, Chinese Academy of Sciences",China
"National Astronomical Observatories of China, Chinese Academy of Sciences",China
National Solar Observatory,United States
IAU - UAI Secretariat Executive Committee Member,
ESO,Germany
The University of Nottingham,United Kingdom
Moreno Valley College,United States
Nepal Astronomical Society (NASO),Nepal
Cal Poly Pomona,United States
"Department of Astronomy,Beijing Normal University",China
"Department of Astronomy,Beijing Normal University",China
"Istituto Ricerche Solari Locarno, IRSOL",Switzerland
ANU Research School of Astronomy and Astrophysics,Australia
University of Michigan,United States
NASA JPL Exoplanet Exploration,United States
Univ. of Heidelberg,Germany
Max Planck Institute for Astronomy,Germany
"Department of Astronomy, Stockholm University",Sweden
"Institute for Astronomy, University of Edinburgh",United Kingdom
JCMT - East Asian Observatory,United States
Shanghai Astronomical Observatory,China
Indian Institute of Astrophysics,India
University of Bristol Executive Committee Member,United Kingdom
Hamburger Sternwarte,Germany
National Radio Astronomy Observatory,United States
Institute of astronomy RAS,Russia
"LESIA, Observatoire de Paris",France
"Niels Bohr Institute, University of Copenhagen",Denmark
NASA Jet Propulsion Laboratory,United States
NASA Ames Research Center,United States
"Instituto de Astronomia, UNAM",Mexico
Stanford University,United States
Boston University,United States
University of Maryland,United States
VNIIFTRI,Russia
"Institute for Astronomy, UH",United States
National Science Foundation,United States
"LESIA, Observatoire de Paris",France
"Institute for Astronomy, University of Hawaii",United States
Harvard-Smithsonian Center for Astrophysics,United States
Laboratoire dAstrophysique de Marseille,France
UKIRT,
The University of Sydney,Australia
"Departement Lagrange, Observatoire de la Cote d Azur",France
University of California Santa Cruz,United States
National Observatory of Athens,Greece
Korea Astronomy and Space Science Institute,South Korea
International Space Science Institute,Switzerland
Department of Physics University of Rome Tor Vergata,Italy
"Laboratoire Astrophysique de Bordeaux, Universite de Bordeaux",France
Universities Space Research Association,United States
Space Telescope Science Institute,United States
"Institue for Astrophysics, Goettingen",Germany
"Astronomical Institute, Ondrejov",Czech Republic
,
Mt. San Antonio College,United States
University of New South Wales,Australia
Southwest Research Institute,United States
"IAP, CNRS + Sorbonne Universite-UPMC",France
DSM/IRFU/SAp CEA-Saclay,France
"Institute for Space Research, Austrian Academy of Sciences",Austria
Space Telescope Science Institute,United States
Leiden University,Netherlands
The Australian National University,Australia
"Instituto de Astrofísica, PUC",Chile
Academia Sinica Institute of Astronomy and Astrophysics,United States
Space Telescope Science Institute,United States
Yale,United States
NRAO,United States
"CEA, Saclay",France
Yale University,
Spacecraft System Engineering Services,United States
University of Hawaii,
Spacecraft System Engineering Services,United States
INAF-Osservatorio Astronomico di Bologna,Italy
STScI,United States
NASA GSFC,United States
SKA Organisation,United Kingdom
Universidad De Guanajuato,Mexico
California Institute of Technology,United States
California Institute of Technology,United States
CSIRO Astronomy and Space Science,Australia
Smithsonian Astrophysical Observatory,United States
SISSA,Italy
UFSCar,Brazil
"Observatoire de Paris, LESIA",France
Smithsonian Astrophysical Observatory Smithsonian Institution,United States
California Institute of Technology,United States
American Astronomical Society,United States
"IAASARS, National Observatory of Athens",Greece
AstroNZ,New Zealand
"University of Waterloo, Perimeter Institute",Canada
"University of Waterloo, Perimeter Institute",Canada
"Ucolick Observatory, UCSC",United States
Astronomical Consultants Equipment Inc,United States
CSIRO,Australia
George Mason University,Japan
"Wise Observatory, Tel Aviv Unievrsity",Israel
Astro Haven Enterprises,United States
Specola Vaticana,Holy See (Vatican City)
Leiden Observatory,Netherlands
Lawrence Livermore National Laboratory,United States
Las Cumbres Observatory Global Telescope (LCOGT),United States
Univ of Washington,United States
Charles University in Prague,Czech Republic
"Jet Propulsion Laboratory, California Institute of Technology",United States
CEA-Saclay,France
CEA Saclay,France
DIFA-University of Bologna,Italy
"CRyA, UNAM",Mexico
NASA-JPL,United States
NASA Ames Research Center,United States
Space Research Centre PAS,Poland
Officina Stellare SRL - Italy,
Harvard University,United States
South African Astronomical Observatory,South Africa
University of Oxford,United Kingdom
"University of California, Irvine",United States
Tezpur University,India
Jet Propulsion Laboratory,United States
NRAO,United States
University of Oxford,United Kingdom
CNRS LAM,France
N.R.A.O.,United States
University of Colorado Boulder,United States
Kagoshima University,Japan
MESATech,United States
University of New South Wales,Australia
The Astrophysical Journal,United States
University of Hawaii,United States
,
Florida Gulf Coast University,United States
Florida Gulf Coast University,United States
Korea Astronomy & Space Institute,
Observatoire Midi Pyrenees - CNRS - Universite de Toulouse,France
The Gruber Foundation,
Pennsylvania State University,United States
KITV,
,
Mayor,
University of Birmingham,United Kingdom
W.M. Keck Observatory,United States
University of Western Ontario,Canada
Andor,
IAU Office for Astronomy Outreach,Japan
US Department of State,United States
The Gruber Foundation,
"Kavli Institute for Theoretical Physics, UCSB",United States
INAF-OABO UMBC,Italy
UNESP - Sao Paulo State University,Brazil
Universidad de Guanajuato,Mexico
The Gruber Foundation,
Caltech,United States
Instituto de Astronomia. Universidad Nacional Autonoma de Mexico,Mexico
University of Cape Town,South Africa
University of Cape Town,South Africa
National Radio Astronomy Observatory,United States
University of Toronto,Canada
Minnesota Institute for Astrophysics,United States
MESATech,United States
The Gruber Foundation,
University of Chicago,
The Gruber Foundation,
The Gruber Foundation,
NASA Goddard Space Flight CTR,United States
ESO,
INAF - Osservatorio Astronomico di Bologna,Italy
Unesp,Brazil
"IMCCE, Paris Observatory",France
The Australian National University,Australia
Max-Planck Institute for Extraterrestrial Physics,Germany
Max-Planck Institute for Extraterrestrial Physics,Germany
Institut dAstrophysique de Paris,France
INAF - Astro. Obs. Teramo,Italy
Saint Marys University,Canada
Instituto de Astronomia - UNAM,Mexico
universidad Complutense,Spain
SETI Institute,United States
Pontificia Universidad Catolica de Chile,Chile
Wesleyan University,United States
INAF - Osservatorio Astrofisico di Arcetri,Italy
"LESIA, Observatoire de Paris",France
,
"ENS-Lyon, CRAL",France
Seoul National University,South Korea
Harvard-Smithsonian Center for Astrophysics,United States
Institute for Astronomy,United States
San Francisco State University,United States
Kyungpook National University,South Korea
Sejong University,South Korea
"Purple Mountain Observatory, Chinese Academy of Sciences",China
"Department of Astronomy, University of Geneva",Switzerland
"University of Birmingham, UK",United Kingdom
CSIRO,Australia
"CSU, Northhridge",United States
"CSU, Northhridge",United States
Universidad de Antofagasta,Chile
"Department of Astronomy, University of Geneva",Switzerland
Laboratoire dAstrophysique de Bordeaux,France
Institut d Astrophysique de Paris (CNRS-UPMC),France
NASA Goddard Space Flight Center,United States
IRAP CNRS,France
College of Charleston,United States
"CIERA, Northwestern University",United States
"LERMA, Universite Pierre et Marie Curie (UPMC)",France
Astronomy Department of Beijing Normal University,China
Yunnan Observatory,China
"National Astronomical Observatories, Chinese Academy of Sciences",China
"Department of Astronomy, Nanjing University",China
China University of Petroleum,China
UC Santa Cruz,United States
Shanghai Astronomical Observatory,China
"Department of Physics, NCU",Taiwan
National Central University,Taiwan
Johns Hopkins Applied Physics Lab,United States
"Shanghai Astronomical Observatory, CAS",China
"Center for Astrophysics, University of Science and Technology of China",China
"Center for Astrophysics, University of Science and Technology of China",China
Basel University,Switzerland
KITV,
Jet Propulsion Laboratory,United States
Lockheed Martin Solar and Astrophysics Laboratory,United States
IAU Office for Astronomy Outreach,Japan
Leibniz-Institut for Astrophysik Potsdam,Germany
"Astronomical Institute, Tohoku University",Japan
Gemini Observatory,United States
Northern Arizona University,United States
Kindai University,Japan
ASIAA/ASROC,Taiwan
Anthology Marketing Group,
Korea Astronomy Space Science Institute,South Korea
Jet Propulsion Laboratory,United States
Kyung Hee University,South Korea
Korea Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute,South Korea
Kyung-Hee University,South Korea
ASIAA/ASROC,Taiwan
IAU - UAI Secretariat Executive Committee Member,
"Dark Cosmology Centre, Niels Bohr Institute",Denmark
"Dept. Physics and Astronomy, Aarhus University",Denmark
STScI,United States
"NASA Exoplanet Science Institute, Caltech",United States
National Institute for Mathematical Sciences,South Korea
ASIAA/ASROC,Taiwan
UH Institute for Astronomy,
Yonsei University Observatory,South Korea
"School of Space Research, Kyung Hee University",South Korea
Korea Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute (KASI),South Korea
KITV,
University of Florida,United States
CaltechIPAC,United States
Penn State University,United States
ETH Zurich,Switzerland
University of Chicago,United States
Universidad Diego Portales,Chile
STScI,United States
,Italy
NASA MSFC,United States
Carnegie Mellon University,United States
Yale University,United States
NRAO,United States
Columbia University,United States
American Astronomical Society,
"SETI Institute, NASA Ames Research Center",United States
Louisiana State University,United States
Centre de Recherche Astrophysique de Lyon (CRAL),France
Imperial College London,United Kingdom
Max-Planck Institute for Extraterrestrial Physics,Germany
Observatoire Royal de Belgique,Belgium
Royal Astronomical Society,United Kingdom
ESO,Germany
Space Telescope Science Institute,United States
HartRAO,South Africa
"Department of Astronomy, University of Geneva",Switzerland
Space.com,United States
California Institute of Technology (Caltech),United States
UH Institute for Astronomy,
Becker Communications,
Australian National University Executive Committee Member,Australia
Australian National University Executive Committee Member,Australia
Australian National University,Australia
University of St Andrews,United Kingdom
Yale,United States
University of Alberta,Canada
NASA Ames Research Center,United States
INAF-OABO,Italy
Observatoire de PARIS Executive Committee Member,France
University of Michigan,United States
Sonoma State University,United States
University of Florida,United States
,United States
"University of Hawaii, Institute for Astronomy",United States
LBTO,United States
Universidad Catolica de Chile,Chile
Cook Astronomical Consulting,United States
Harvard University,United States
Spectral Instruments,United States
"Centre for Astrophysics, University of Hertfordshire",United Kingdom
Vatican Observatory,Holy See (Vatican City)
IAU - UAI Secretariat Executive Committee Member,United Kingdom
Catholic University of America + NASA GSFC,United States
National Science Foundation,United States
NSF,
Minnesota Institute for Astrophysics,United States
"Laboratory for Atmospheric and Space Physics, University of Colorado Boulder",United States
"Instituto de Astronomia, UNAM",Mexico
SETI Institute,United States
University of Nantes Executive Committee Member,
Australian Astronomical Observatory,Australia
SETI Institute,United States
Queens University,Canada
IPNL - CNRS,France
CNRS-LESIA-Observatoire De Paris,France
"NBI, StarPlan, University of Copenhagen",Denmark
Community Radio,
"Institute for Astronomy, Univ. of Hawaii",United States
IFA,United States
Arizona State University,United States
University of Michigan,United States
"STEM Laboratory, Inc.",United States
KOHN 2 News,
Carnegie Observatories,United States
Georgia State University,United States
Centre for High Performance Computing,South Africa
"Observ. Cote d Azur, University of NICE",France
Jet Propulsion Laboratory,United States
California Institute of Technology,
Texas Tech University,United States
,
University of Birmingham,United Kingdom
University of Birmingham,United Kingdom
KITV,
NASA,United States
Hebei Normal University,China
Xinjiang Astronomical Observatory,China
Shanghai Jiao Tong University,China
CEA-Saclay,France
Observatorio Nacional and Steward Observatory,Brazil
"Centro de Astrofisica, U. Porto",
University of New South Wales,Australia
UC Santa Cruz,United States
Ililani Media,United States
Senate Appropriations,
Caltech IPAC,United States
"Research School of Astronomy Astrophysics, ANU",Australia
Swinburne University of Technology,Australia
"Institute of Theoretical Astrophysics, University of Oslo",Norway
WM Keck Observatory,
Officina Stellare SRL - Italy,
"University Observatory and Excellence Cluster Universe, Munich",Germany
University of Florida,United States
Queensborough Community College of the City University of New York (CUNY),United States
"Sternberg Astronomical Institute, Moscow State University",Russia
"Institute for Astronomy Geophysics, Mongolian Academy of Sciences",Mongolia
AEI Hannover,Germany
,
Institut dAstrophysique Spatiale,France
The University of Alabama in Huntsville,United States
Jodrell Bank Centre for Astrophysics,United Kingdom
University of Washington,United States
Harvard-Smithsonian Center for Astrophysics,United States
University of New South Wales,Australia
Liverpool John Moores University,United Kingdom
Hawaii News Now,
Macquarie University + CSIRO Astronomy and Space Science,Australia
Macquarie University + CSIRO Astronomy and Space Science,Australia
Thirty Meter Telescope,
KOHN 2 News,
INAF Bologna,Italy
USRA-SOFIA,United States
"IAGUSP, Universidade de Sao Paulo",Brazil
"Kavli Institute for Astronomy and Astrophysics, Peking University",China
Leibniz Institute for Astrophysics Potsdam,Germany
Southwest Research Institute,United States
University of California - Riverside,United States
European Space Agency,Netherlands
CUA/GSFC,United States
University of Amsterdam,Netherlands
CSIC-IEEC,Spain
Ohio State University,United States
IAA-CSIC,Spain
Hartebeesthoek Radio Astronomy Observatory,South Africa
European Southern Observatory Executive Committee Member,Germany
"University of Leuven, Institute of Astronomy",Belgium
Osservatorio di Roma,Italy
Yale - Nordita,United States
McGill University,Canada
CNRS-Observatoire de la Cote dAzur,France
INAF-OAR Astronomical Observatory of Rome,Italy
University of Rome La Sapienza,Italy
Laboratoire dAstrophysique de Marseille (LAM),France
"Department of Astronomy, Universidad de Concepcion",Chile
East Asian Observatory,United States
"National Astronomical Observatories, CAS",China
Institute for Astronomy - University of Hawaii,United States
The Ohio State University,United States
Lockheed Martin Solar and Astrophysics Laboratory,United States
University of Colorado Boulder,United States
"Laboratoire Lagrange, Nice",France
Geneva Observatory,Switzerland
Space Telescope Science Institute,United States
National Air and Space Museum,United States
National Air and Space Museum,United States
Canada-France-Hawaii Telescope Corporation,United States
University of Oxford,United Kingdom
National Research Council of Canada,Canada
SKA Organisation,
Geneva Observatory,Switzerland
Instituto de Astrofisica de Canarias,Spain
Smithsonian Institution,United States
Bundesamt fuer Kartographie und Geodaesie,Germany
University of New Mexico,United States
University of New Mexico,United States
University of Bonn,Germany
Carnegie Mellon Univ.,United States
The University of Texas at Austin,United States
Space Telescope Science Institute,United States
"Institute for Astronomy, University of Hawaii",United States
Space Telescope Science Institute,United States
Monash Centre for Astrophysics,Australia
JPL,
University Observatory Munich,Germany
"IAS Orsay, univ Paris-Sud",France
Ball Aerospace Technologies Corp.,United States
University of St Andrews,United Kingdom
Big Kids Science,United States
LBNL UC Berkeley,United States
"Purple Mountain Observatory, Chinese Academy of Sciences",China
Korea Astronomy Space Science Institute,South Korea
W. M. Keck Observatory,United States
NUCLIO - Nucleo Interativo de Astronomia,Portugal
University of Southern Denmark,Denmark
"Univ. Vienna, Institute of Astrophysics",Austria
"Univ. Vienna, Institute of Astrophysics",Austria
US Naval Observatory,United States
CNRS - ENS,France
Max-Planck-Institut for Astrophysics,Germany
University of Strasbourg,France
RSAA ANU,Australia
INAF-Osservatorio Astronomico di Roma,Italy
Denison University,United States
Ohio University Lancaster,United States
Armagh Observatory,United Kingdom
Universite de Montreal - iREx,Canada
UC Santa Barbara - LCOGT,United States
Princeton University,United States
Smithsonian Astrophysical Observatory,United States
CRAL - University of Lyon,France
University of Maryland,United States
Lund Observatory,Sweden
KITV,
"ICRAR, University of Western Australia",Australia
Leiden Observatory,Netherlands
Possum Observatory,New Zealand
Observatoire de Paris,France
Astronomical Institute,Czech Republic
Elsevier,Netherlands
University of New South Wales,Australia
Queens University,Canada
University of Nottingham,United Kingdom
International Occultation Timing Association,United States
,United States
Gauhati University,India
Gauhati University,India
European Space Agency,Spain
National Observatory and Univ. of Michigan,United States
Harvard-Smithsonian Center for Astrophysics,United States
Canadian Space Agency,Canada
Charles University in Prague,Czech Republic
U.S. National Park Service,United States
International Lunar Observatory Association,United States
Nepal Astronomical Society (NASO),Nepal
University of Chicago,United States
NASA Goddard Space Flight Center,United States
National Science Foundation,United States
Astronomical Institute,Czech Republic
McMaster University,Canada
"IfA, University of Hawaii",United States
"Instituto de Astronomía, UNAM",Mexico
"Department of Astronomy, University of Geneva",Switzerland
"Steward Observatory, University of Arizona",United States
UW-Madison,United States
National Center for Atmospheric Research High Altitude Observatory,United States
IMCCE Observatoire de Paris,France
CSIRO Astronomy and Space Science,Australia
CSIRO Astronomy and Space Science,Australia
University of Geneva,Swaziland
CEA Saclay,France
INAF-Osservatorio Astronomico di Padova,Italy
,
Arizona State University,United States
JPLCaltech,United States
IBM Watson Research Center,United States
Vassar College,United States
Harvard-Smithsonian Center for Astrophysics,United States
Space Telescope Science Institute,United States
"Institute of Astronomy, Russian Academy of Sciences",Russia
Ponta Grossa State University,Brazil
University of Johannesburg,South Africa
CSNSM CNRS_Univ. Paris Sud,France
The Norwegian Academy of Science and Letters,Norway
"Inst. of Theor. Astrophysics, Univ. of Oslo & Norwegian Acad of Sci & Letters",Norway
Radboud University Nijmegen,Netherlands
MPI for Astrophysics,Germany
ISCTE-IUL,Portugal
LESIA Observatoire de Paris,France
Harvard-Smithsonian Center for Astrophysics,United States
University of Alaska Anchorage,United States
University of Oslo,Norway
Charles Sturt University,Australia
Massachusetts Institute of Technology,United States
Smithsonian Astrophysical Observatory,United States
University of Exeter,United Kingdom
Geneva Observatory,Switzerland
Harvard-Smithsonian CfA,United States
University of Cambridge,United Kingdom
Jackson State University,United States
Harvard University,United States
"Herzberg Astronomy and Astrophysics, National Research Council",Canada
IOP Publishing,United States
ISTL Light Pollution Science and Technology Institute,Italy
Penn State University,United States
Ecole Normale Superieure - Observatoire de Paris,France
STScI,United States
Chalmers University of Technology,Sweden
"Department of Astronomy, University of Science and Technology of China",China
Instituto de Astrofisica de Andalucia - CSIC,Spain
"School of Physics,Huazhong University of Science Technology",China
INAF-Osservatorio Astrofisico di Catania,Italy
Armenian Astronomical Society (ArAS),Armenia
Caltech JPL,United States
University of Birmingham,United Kingdom
New York University,United States
CHARA Georgia State University,United States
Harvard-Smithsonian Center for Astrophysics,United States
University of Toledo,United States
University of Toledo,United States
University of Helsinki,Finland
Penn State University,United States
Tennessee State University,United States
ESO,Germany
"Departamento de Astronomia, Universidad de Concepcion",Chile
"National Astronomical Observatories, Chinese Academy of Sciences",China
NSSC Chinese Academy of Sciences,China
"Yunnan observatory, Chinese Academy of Sciences",China
AAL,
INAF Istituto di Radioastronomia Bologna,Italy
"Institute for Astronomy, University of Edinburgh",United Kingdom
Space Telescope Science Institute,United States
CNRS - IAP,France
Departamento de Astronomia. Facultad de Ciencias,Uruguay
"University of Alicante, Spain",Spain
Goddard Space Flight Center,United States
NRC-Herzberg,Canada
"Universidade de Sao Paulo, Instituto de Astronomia, Geofisica Ciencias Atmosferi",Brazil
University College London,United Kingdom
Think Tech Hawaii,
American Astronomical Society,United States
University of Western Sydney,Australia
University of Texas at Austin,United States
The University of Texas at Austin,United States
INAF Osservatorio Astronomico di Bologna,Italy
"Chicago Astronomical Society,President. One Star at a Time,Founder Co-chair",United States
Georgia State University,United States
NASA Goddard Space Flight Center,United States
CIERA - Northwestern University,United States
SLAC National Accelerator Laboratory,United States
CFHT Corporation,United States
San Diego State University,United States
Space Telescope Science Institute,United States
University of Glasgow,United Kingdom
University of Hawaii Institute for Astronomy,United States
University of the Pacific,United States
Instituto de Astronomia UNAM,Mexico
JPL,United States
Pennsylvania State University,United States
National Radio Astronomy Observatory,United States
NYU,United States
Smithsonian Astrophysical Observatory,United States
Univ. of Rochester,United States
University of North Carolina at Chapel Hill,United States
Max-Planck-Institut fuer extraterrestrische Physik,Germany
EDP Sciences,
WESGRO,South Africa
"University of California, Berkeley",United States
Princeton Plasma Physics Laboratory,United States
Universidad Nacional Autonoma de Mexico-Instituto de Astronomia-OANSPM,Mexico
University of Geneva,Switzerland
Sunpower Inc.,
University of Colorado,United States
Leiden Observatory,Netherlands
Curtin Institute of Radio Astronomy,Australia
The Open University,United Kingdom
Massachusetts Institute of Technology,United States
University of Chicago,United States
American Astronomical Society,United States
Observatoire De Paris - Lerma,France
EAOJCMT,United States
Ansible Technologies Ltd.,United States
Texas Christian University,United States
Texas Christian University,United States
Smithsonian Astrophysical Observatory,United States
Los Alamos National Laboratory,United States
Beijing Normal University,China
Purple Mountain Observatory,China
Shanghai Astronomical Observatory,China
International school for advanced studies (SISSA),Italy
National Astronomical Observatory of Japan,Japan
Hokkaido University,Japan
Kyushu University,Japan
National Astronomical Observatory of Japan,
Nagoya University,Japan
None( retired Prof.),Japan
None( retired Prof.),Japan
Hosei University,Japan
University of Manchester,United Kingdom
California Institute of Technology,United States
"Institute for Astronomy, University of Hawaii at Manoa",United States
Vatican Observatory,Holy See (Vatican City)
University Observatory Munich,Germany
"University of Hawaii, IfA",
"Instituto de Astrofisica, Pontificia Universidad Catolica de Chile",Chile
IAC,Spain
Universidad Complutense de Madrid,Spain
Universidad Complutense de Madrid,Spain
Universidad de Concepcion,Chile
,
University of New Hampshire,United States
"Department of Astronomy, Beijing Normal University",China
Purple Mountain Observatory,China
"ITeDA (CNEA-CONICET-UNSAM), UTN-FRM",Argentina
Instituto de Astrofisica de Canarias (IAC),Spain
Universidad de los Andes,Colombia
Observatori de Madrid,Spain
European Space Agency,
NASA - Goddard Space Flight Center,United States
LABORATOIRE ASTROPHYSIQUE BORDEAUX - UNIVERSITE DE BORDEAUX,France
SKA Organisation,
Harvard-Smithsonian Center for Astrophysics,United States
ASTRON + Leiden University,Netherlands
Max Planck Institute for Astrophysics (MPA),Germany
Ohio State University,
National Science Foundation,United States
SIUE,United States
"Yunnan Observatories, Chinese Academy of Sciences",China
"Centre for Astrophysics, University of Hertfordshire",United Kingdom
Gemini Observatory,United States
NASA-GSFC,United States
University of MInnesota,United States
University of MInnesota,United States
European Southern Observatory,Germany
Universidad de Concepcion,Chile
Western Kentucky University,United States
NASA Exoplanet Science Institute,United States
Columbia University,United States
Max Planck Institute for Extraterrestrial Physics,Germany
International Planetarium Society,Australia
Max Plank Institute for Astronomy,Germany
Keele University,United Kingdom
Max-Planck-Institute for Ex. Physics,Germany
